Class_name,precision,recall,f1-score,support
Tomato Maroon,1.0,1.0,1.0,127.0
Raspberry,1.0,1.0,1.0,166.0
Grape Blue,1.0,1.0,1.0,328.0
Hazelnut,1.0,1.0,1.0,157.0
Tomato not Ripened,0.9693251533742331,1.0,0.9844236760124611,158.0
Pineapple Mini,1.0,1.0,1.0,163.0
Banana Red,1.0,0.963855421686747,0.9815950920245399,166.0
Tomato 1,0.9959514170040485,1.0,0.9979716024340771,246.0
Peach Flat,1.0,1.0,1.0,164.0
Pear Monster,0.9595375722543352,1.0,0.9793510324483776,166.0
Tomato Cherry Red,1.0,1.0,1.0,164.0
Tangelo,1.0,1.0,1.0,166.0
Physalis with Husk,0.9010989010989011,1.0,0.9479768786127168,164.0
Clementine,1.0,1.0,1.0,166.0
Potato Red,1.0,0.9266666666666666,0.9619377162629758,150.0
Potato Sweet,0.9251700680272109,0.9066666666666666,0.9158249158249158,150.0
Apple Red 1,0.9818181818181818,0.9878048780487805,0.9848024316109422,164.0
Cactus fruit,0.9021739130434783,1.0,0.9485714285714286,166.0
Apple Pink Lady,0.926829268292683,1.0,0.9620253164556963,152.0
Kumquats,1.0,1.0,1.0,166.0
Apple Red 3,0.9795918367346939,1.0,0.9896907216494846,144.0
Eggplant,0.9774436090225563,0.8333333333333334,0.8996539792387543,156.0
Mangostan,0.9532710280373832,1.0,0.9760765550239235,102.0
Apple Golden 3,0.8758169934640523,0.8322981366459627,0.8535031847133758,161.0
Avocado,1.0,1.0,1.0,143.0
Grape Pink,1.0,1.0,1.0,164.0
Lychee,1.0,1.0,1.0,166.0
Grapefruit White,1.0,0.8597560975609756,0.9245901639344262,164.0
Tomato 3,1.0,1.0,1.0,246.0
Nut Pecan,0.9834254143646409,1.0,0.9916434540389973,178.0
Cherry 1,1.0,1.0,1.0,164.0
Cherry Wax Red,1.0,1.0,1.0,164.0
Pineapple,1.0,1.0,1.0,166.0
Pear,0.9931506849315068,0.8841463414634146,0.935483870967742,164.0
Cherry 2,1.0,1.0,1.0,246.0
Avocado ripe,0.9940119760479041,1.0,0.996996996996997,166.0
Lemon,0.8631578947368421,1.0,0.9265536723163842,164.0
Granadilla,1.0,1.0,1.0,166.0
Limes,1.0,1.0,1.0,166.0
Quince,1.0,1.0,1.0,166.0
Potato Red Washed,1.0,0.9668874172185431,0.9831649831649832,151.0
Mulberry,0.9704142011834319,1.0,0.9849849849849849,164.0
Papaya,0.9939393939393939,1.0,0.9969604863221885,164.0
Banana,1.0,0.8433734939759037,0.9150326797385622,166.0
Pepper Red,0.9910714285714286,1.0,0.9955156950672646,222.0
Plum 2,1.0,1.0,1.0,142.0
Apple Granny Smith,0.8586387434554974,1.0,0.923943661971831,164.0
Grape White 3,1.0,1.0,1.0,164.0
Redcurrant,1.0,1.0,1.0,164.0
Tamarillo,1.0,1.0,1.0,166.0
Pear Forelle,0.9831223628691983,0.9957264957264957,0.9893842887473461,234.0
Cherry Rainier,1.0,1.0,1.0,246.0
Pear Kaiser,1.0,1.0,1.0,102.0
Apple Red 2,0.9147727272727273,0.9817073170731707,0.9470588235294118,164.0
Cantaloupe 2,1.0,0.9939024390243902,0.9969418960244648,164.0
Ginger Root,0.875,0.98989898989899,0.9289099526066351,99.0
Grapefruit Pink,0.9880952380952381,1.0,0.9940119760479043,166.0
Fig,1.0,1.0,1.0,234.0
Banana Lady Finger,1.0,1.0,1.0,152.0
Apricot,1.0,1.0,1.0,164.0
Pomelo Sweetie,1.0,1.0,1.0,153.0
Nut Forest,1.0,1.0,1.0,218.0
Huckleberry,1.0,1.0,1.0,166.0
Apple Red Delicious,0.9171270718232044,1.0,0.956772334293948,166.0
Corn,0.9195402298850575,0.5333333333333333,0.6751054852320675,150.0
Blueberry,1.0,1.0,1.0,154.0
